mask_area,fill_ratio,n_components,largest_component_area,largest_component_ratio,mean_component_area,std_component_area,median_component_area,skeleton_length,n_endpoints,n_junctions,endpoint_density,junction_density,branch_density,n_segments,mean_segment_length,median_segment_length,max_segment_length,std_segment_length,mean_tortuosity,median_tortuosity,max_tortuosity,orientation_mean_deg,orientation_std_deg,mean_thickness,median_thickness,max_thickness,std_thickness,time_label,time_h,group,image_name,thickness_norm,segment_length_norm,thickness_inverted,proinflammatory_score_0_1,proinflammatory_score
621371,0.19830314287173204,175,105392.0,0.16961203532189303,3550.691428571429,12278.464942058314,587.0,33655,928,2702,0.0002961601307189542,0.0008623110702614379,0.010740591809640522,1656,18.567632850241544,13.0,128.0,16.923535499915253,1.00994748615954,1.0101485816078168,1.349838529950713,97.81460003526489,45.102477073239626,19.038625565230085,16.1245154965971,86.92525524840292,12.083915155777682,0HS,0,N1,Image2.tif,1.0,0.0,0.0,0.0,0.0
626930,0.2000772314133987,177,175268.0,0.27956550173065575,3541.9774011299437,13970.684167659207,606.0,34557,984,2921,0.00031403186274509806,0.000932202308006536,0.011028454350490196,1757,17.871940808195788,14.0,142.0,15.350731429644249,1.0535693986974537,1.0191294551824477,1.7765597044742527,91.80757118895475,49.73388735209663,19.127320036146212,16.1245154965971,86.37129152675674,12.200245013153427,0HS,0,N1,Image5.tif,1.0,0.2,0.0,0.1,10.0
615747,0.19650831035539215,215,126299.0,0.20511508785264077,2863.939534883721,10678.55126490828,600.0,36737,1000,2731,0.00031913807189542484,0.0008715660743464053,0.011724175347222223,1691,19.967474866942638,14.0,253.0,20.77515021415885,1.0353281884000372,1.0086167222030837,2.0,76.16868008450467,48.109520938672794,16.619956344681754,13.416407864998739,96.1041102138717,11.321493395708034,0HS,0,N1,Image8.tif,0.5578250013240986,0.2,0.4421749986759014,0.32108749933795067,32.10874993379507
611678,0.19520973754084966,238,72312.0,0.11821906297104032,2570.075630252101,7194.847729550843,570.5,36363,1049,2732,0.00033477583741830066,0.0008718852124183007,0.011604817708333333,1697,19.674130819092515,15.0,140.0,18.33301574533697,1.072450471194454,1.0196622927890098,3.3529411764705883,94.20282814154017,54.33056052540489,16.210822686740112,14.0,83.73768566183328,10.21369875467867,0HS,0,N1,Image11.tif,0.6531128874149276,0.4,0.34688711258507243,0.3734435562925362,37.34435562925362
622016,0.19850898692810456,199,136781.0,0.21989948811606133,3125.708542713568,12824.703776315011,557.0,40255,1135,3518,0.0003622217116013072,0.0011227277369281045,0.012846903084150327,2101,17.34888148500714,13.0,161.0,15.562945378635623,1.0951494606544023,1.0087881972209973,3.8169836470503395,96.9976725719432,43.77555154391641,15.935451519251162,13.416407864998739,65.14598989960932,9.761871037458528,0HS,0,N2,Image98.tif,0.5578250013240986,0.0,0.4421749986759014,0.2210874993379507,22.108749933795067
628119,0.20045668658088237,174,183739.0,0.2925225952407108,3609.8793103448274,17473.204642364253,580.5,37188,949,3149,0.0003028620302287582,0.0010049657883986927,0.011868106617647058,1854,18.220064724919094,14.0,210.0,17.39989419539421,1.0238539695552045,1.0181689423750941,1.414213562373095,88.15053760432212,50.69016955629839,17.916058634112485,14.560219778561036,112.64102272262978,11.753065942828488,0HS,0,N2,Image101.tif,0.744584576705665,0.2,0.255415423294335,0.2277077116471675,22.77077116471675
616991,0.19690531811683007,193,131052.0,0.21240504318539494,3196.8445595854923,11347.608020148875,614.0,36336,960,2681,0.00030637254901960784,0.000855609170751634,0.011596200980392157,1660,20.148795180722892,14.0,183.0,20.126082214266106,1.0140818178031654,1.0113424281183216,1.5,103.84262722109317,59.260080247359284,17.204182859144087,14.142135623730951,93.05912099305473,11.891462868581698,0HS,0,N2,Image104.tif,0.6763205393197884,0.2,0.3236794606802116,0.26183973034010577,26.183973034010577
620856,0.1981387867647059,221,146301.0,0.23564401407089566,2809.3031674208146,11757.79233685458,581.0,37811,1102,3222,0.00035169015522875817,0.0010282628676470589,0.012066929636437908,1939,17.69417225373904,13.0,115.0,15.602191766040926,1.0362170415116991,1.0191493777666616,1.414213562373095,84.01837640114431,49.33723164692141,16.96246629490653,14.0,82.02438661763951,11.129413797369274,0HS,0,N2,Image107.tif,0.6531128874149276,0.0,0.34688711258507243,0.17344355629253622,17.34435562925362
625941,0.19976160386029412,204,163099.0,0.260566091692348,3068.3382352941176,12402.225357647367,582.5,35102,1066,2979,0.00034020118464052286,0.0009507123161764706,0.011202384599673203,1807,17.624239070282236,13.0,240.0,17.15665408446375,1.0316864956572476,1.0007613392743873,1.5,91.84177736792141,44.51740230133048,18.152215152318416,15.231546211727817,97.50897394599124,11.395091890504931,0HS,0,N3,Image2.tif,0.8541975629965453,0.0,0.14580243700345474,0.07290121850172737,7.290121850172737
624311,0.19924140880310456,175,190454.0,0.3050627011217166,3567.4914285714285,16897.021487272694,636.0,35829,985,2978,0.0003143510008169935,0.0009503931781045751,0.011434397977941177,1787,18.26077224398433,13.0,147.0,17.085755595914563,1.0211207166262743,1.003113655692617,1.2719974560076321,95.53625567804634,46.28161783230918,18.429125593116904,16.0,78.81624198095213,11.607623303400194,0HS,0,N3,Image5.tif,0.9796693311223914,0.0,0.020330668877608593,0.010165334438804297,1.0165334438804297
